#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2014-05-01,19,12,32,12,18,18,0.1,71,10,1012,18.625,19,12,10,116,113,113,0,5,14.1,météo favorable,19:38:00,05:30:00,12
2014-05-02,18,13,45,13,16,16,0.5,73,9.875,1011,20.875,18,11,10,113,116,116,0,5,14.1,météo favorable,19:39:00,05:29:00,13
2014-05-03,19,13,28,13,19,17,0.1,78,10,1010,22.625,19,11,12,116,113,113,0,5,14.1,météo favorable,19:40:00,05:28:00,13
2014-05-04,18,13,14,14,18,18,0.1,74,10,1015,12.125,18,12,13,113,113,113,0,5,14.2,météo favorable,19:41:00,05:26:00,13
2014-05-05,19,15,15,18,18,17,0,78,10,1018,2.375,19,14,18,113,113,113,0,5,14.2,météo favorable,19:42:00,05:25:00,15
2014-05-06,18,16,14,16,18,16,0,74,10,1021,17.125,18,13,16,113,113,116,0,5,14.2,météo favorable,19:43:00,05:24:00,17
2014-05-07,18,15,26,15,18,17,0,78,10,1019,25,18,14,15,116,113,113,0,5,14.2,météo favorable,19:44:00,05:22:00,15
2014-05-08,19,14,14,15,19,17,0,71,10,1019,11,19,13,14,116,113,113,0,5,14.3,météo favorable,19:46:00,05:21:00,14
2014-05-09,21,15,27,16,21,20,0,76,10,1018,4.75,24,14,16,113,113,113,0,5,14.3,météo favorable,19:47:00,05:20:00,15
2014-05-10,21,15,27,16,21,18,0,80,10,1017,13.875,21,14,16,113,113,113,0,5,14.3,météo favorable,19:48:00,05:19:00,15
2014-05-11,19,15,32,17,18,18,0,77,10,1016,25.375,19,13,17,113,116,116,0,5,14.3,météo favorable,19:49:00,05:18:00,16
2014-05-12,18,13,30,14,18,16,0,63,10,1016,14.25,18,10,12,113,113,113,0,5,14.3,météo favorable,19:50:00,05:16:00,13
2014-05-13,18,12,53,13,18,16,0,69,10,1019,4,18,7,10,113,113,113,0,5,14.4,météo favorable,19:51:00,05:15:00,12
2014-05-14,20,11,44,11,19,17,0,69,10,1022,0,20,8,8,113,113,113,0,5,14.4,météo favorable,19:52:00,05:14:00,11
2014-05-15,18,11,17,12,18,18,0.1,63,10,1022,6.5,18,12,10,113,113,116,0,5,14.4,météo favorable,19:53:00,05:13:00,11
2014-05-16,19,13,26,14,19,17,0,65,10,1020,9.875,19,11,13,113,113,116,0,5,14.4,météo favorable,19:54:00,05:12:00,13
2014-05-17,19,14,14,17,19,17,0,67,10,1016,13.75,19,12,17,113,113,113,0,5,14.4,météo favorable,19:55:00,05:11:00,15
2014-05-18,18,13,21,15,18,16,0,73,10,1016,11.625,18,12,15,113,113,116,0,5,14.5,météo favorable,19:56:00,05:10:00,13
2014-05-19,16,14,44,15,16,16,9.3,87,8.625,1014,62.75,16,14,13,299,296,176,0,4,12.3,météo correcte,19:57:00,05:09:00,14
2014-05-20,18,14,31,16,18,17,0,82,10,1016,25.5,18,14,16,116,113,113,0,5,14.5,météo favorable,19:58:00,05:08:00,14
2014-05-21,20,15,46,17,20,18,0.7,83,9.875,1016,19.125,20,14,17,113,113,113,0,5,14.5,météo favorable,19:59:00,05:07:00,15
2014-05-22,19,15,30,17,18,16,1.1,90,9.875,1013,52.75,19,16,17,116,200,119,0,5,12.4,météo correcte,20:00:00,05:06:00,16
2014-05-23,19,15,15,16,18,18,2.1,89,9.625,1016,13,19,15,16,176,113,113,0,4,14.5,météo favorable,20:01:00,05:06:00,15
2014-05-24,19,13,20,14,19,18,0,76,10,1017,11.875,19,11,12,113,113,113,0,5,14.5,météo favorable,20:02:00,05:05:00,13
2014-05-25,18,16,15,17,18,16,0.6,73,9,1018,47.75,18,12,16,113,119,119,0,5,10.4,météo correcte,20:03:00,05:04:00,16
2014-05-26,18,15,28,15,18,15,0.8,77,9.25,1017,23.75,18,13,15,113,116,176,0,5,14.5,météo favorable,20:04:00,05:03:00,15
2014-05-27,19,13,37,13,18,18,0.1,73,10,1016,8.625,19,12,11,113,113,113,0,5,14.5,météo favorable,20:05:00,05:03:00,13
2014-05-28,19,13,33,14,19,17,0,70,10,1014,28,19,11,12,113,119,113,0,5,12.5,météo correcte,20:06:00,05:02:00,13
2014-05-29,20,14,19,15,20,20,0.9,73,10,1014,11.875,20,14,15,113,113,113,0,5,14.5,météo favorable,20:06:00,05:01:00,14
2014-05-30,20,14,26,16,20,19,1.6,75,9.875,1014,8.5,20,14,16,113,113,113,0,5,14.5,météo favorable,20:07:00,05:01:00,14
2014-05-31,20,16,6,17,20,19,3.6,79,9.375,1017,15,20,16,17,113,176,176,0,5,14.5,météo favorable,20:08:00,05:00:00,16
