#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-05-01,18,12,16,13,16,16,0,81,10,1018,11.375,18,11,12,113,116,113,0,5,11.6,météo favorable,20:37:00,06:30:00,12
2022-05-02,18,13,11,13,18,18,0,78,10,1016,35.25,18,11,13,116,113,116,0,4,11.6,météo favorable,20:38:00,06:28:00,13
2022-05-03,18,15,13,15,18,18,0,71,10,1016,65.375,18,11,15,116,116,116,0,4,10.5,météo défavorable,20:40:00,06:27:00,16
2022-05-04,19,14,10,15,19,19,0,72,10,1018,19.875,19,11,15,113,113,113,0,5,11.6,météo favorable,20:41:00,06:26:00,14
2022-05-05,20,15,12,15,20,19,0,60,10,1019,7.5,20,12,15,113,113,113,0,5,11.6,météo favorable,20:42:00,06:24:00,15
2022-05-06,18,14,11,15,18,17,0.4,76,10,1018,64.625,18,12,15,116,116,176,0,4,9.4,météo correcte,20:43:00,06:23:00,14
2022-05-07,20,15,14,15,19,19,0.1,76,9.875,1019,51.375,20,13,15,119,116,200,0,5,11.6,météo favorable,20:44:00,06:22:00,15
2022-05-08,20,16,9,16,20,18,0.7,79,9.5,1020,58.625,20,14,16,176,200,176,0,4,8.2,météo correcte,20:45:00,06:21:00,16
2022-05-09,20,15,11,16,20,19,0.3,79,9.875,1023,22.625,20,14,16,113,113,176,0,5,10.5,météo favorable,20:46:00,06:19:00,15
2022-05-10,22,17,21,17,22,21,0,65,10,1023,12.375,25,15,17,113,113,113,0,6,11.6,météo favorable,20:47:00,06:18:00,17
2022-05-11,22,16,14,17,20,20,0,75,10,1023,3.75,25,15,17,113,113,113,0,5,11.6,météo favorable,20:49:00,06:17:00,16
2022-05-12,23,16,16,16,22,20,0,71,10,1023,7.25,25,14,16,116,113,113,0,5,11.6,météo favorable,20:50:00,06:16:00,16
2022-05-13,24,17,16,17,23,24,0,66,10,1023,14.125,25,15,17,116,113,113,0,6,11.6,météo idéale,20:51:00,06:15:00,17
2022-05-14,22,16,10,17,22,22,0,68,10,1020,4.375,25,14,17,113,113,113,0,6,11.6,météo favorable,20:52:00,06:14:00,17
2022-05-15,22,18,16,18,22,21,0,83,10,1019,10.625,25,16,18,113,113,113,0,6,11.6,météo favorable,20:53:00,06:13:00,18
2022-05-16,23,17,12,18,23,22,0,61,10,1021,12.625,25,14,18,113,113,113,0,6,11.6,météo favorable,20:54:00,06:12:00,17
2022-05-17,24,17,11,18,23,23,0,74,10,1019,6.375,25,16,18,113,113,113,0,6,11.6,météo idéale,20:55:00,06:11:00,17
2022-05-18,26,19,18,19,25,23,0,76,10,1020,3.375,27,18,19,113,113,113,0,6,11.6,météo idéale,20:56:00,06:10:00,19
2022-05-19,25,19,21,20,25,23,0,68,10,1025,4.25,27,19,20,113,113,113,0,6,11.6,météo idéale,20:57:00,06:09:00,19
2022-05-20,25,20,13,20,24,25,0,69,10,1027,5,26,16,20,113,113,113,0,6,11.6,météo idéale,20:58:00,06:08:00,20
2022-05-21,27,19,19,20,27,26,0,66,10,1024,3.5,29,20,20,113,113,113,0,6,11.6,météo idéale,20:59:00,06:07:00,19
2022-05-22,26,19,22,20,26,23,0,87,10,1016,4.5,28,21,20,113,113,113,0,6,14.5,météo idéale,21:00:00,06:06:00,19
2022-05-23,25,18,22,19,25,23,0,87,10,1011,9.75,26,18,19,113,113,113,0,6,14.5,météo idéale,21:01:00,06:05:00,18
2022-05-24,25,19,33,20,25,22,0.1,79,10,1008,32.75,26,16,20,113,116,116,0,6,13.5,météo favorable,21:02:00,06:05:00,19
2022-05-25,23,18,19,19,22,22,0.8,73,9.75,1016,61,25,17,19,176,176,176,0,6,11.4,météo correcte,21:03:00,06:04:00,18
2022-05-26,25,19,14,20,23,25,0,76,10,1019,30.625,26,17,20,116,116,113,0,6,14.5,météo favorable,21:04:00,06:03:00,19
2022-05-27,25,21,12,21,25,25,0.1,72,10,1018,23,27,18,21,176,113,113,0,6,14.5,météo idéale,21:05:00,06:02:00,21
2022-05-28,29,21,20,21,29,27,0,66,10,1013,11.125,30,17,21,113,113,113,0,7,14.5,météo idéale,21:06:00,06:02:00,21
2022-05-29,23,19,12,20,21,23,0,75,10,1007,17.75,25,16,20,116,113,113,0,6,14.5,météo favorable,21:07:00,06:01:00,20
2022-05-30,23,18,13,18,22,23,0,86,10,1012,11.625,25,16,18,113,113,113,0,6,14.5,météo favorable,21:08:00,06:01:00,18
2022-05-31,24,18,19,18,24,23,0,80,10,1017,13.375,26,18,18,113,113,113,0,6,15.1,météo idéale,21:08:00,06:00:00,18
