#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2009-05-01,19,12,15,14,19,17,0,78,10,1019,9.125,19,12,14,113,113,113,0,5,14.1,météo favorable,19:38:00,05:30:00,12
2009-05-02,22,13,18,15,22,19,0,75,10,1021,3.125,25,13,15,113,113,113,0,5,14.1,météo favorable,19:39:00,05:29:00,13
2009-05-03,19,15,22,16,19,18,0.5,80,9.875,1021,13.375,19,14,16,113,113,176,0,5,14.1,météo favorable,19:40:00,05:27:00,16
2009-05-04,20,14,32,15,20,17,0,82,10,1020,6,20,13,13,113,113,113,0,5,14.2,météo favorable,19:41:00,05:26:00,15
2009-05-05,19,13,17,14,19,18,0.1,70,10,1020,14.25,19,12,13,113,113,113,0,5,14.2,météo favorable,19:42:00,05:25:00,14
2009-05-06,21,13,15,15,21,17,0,75,10,1021,3,21,14,15,113,113,113,0,5,14.2,météo favorable,19:44:00,05:23:00,13
2009-05-07,20,15,10,19,20,18,0,80,10,1021,1.75,20,15,19,113,113,113,0,5,14.2,météo favorable,19:45:00,05:22:00,16
2009-05-08,19,14,12,16,19,18,0,83,10,1021,18,19,14,16,113,113,113,0,5,14.3,météo favorable,19:46:00,05:21:00,14
2009-05-09,19,16,22,16,19,17,0,75,10,1020,17.75,19,13,16,113,116,113,0,5,14.3,météo favorable,19:47:00,05:20:00,16
2009-05-10,19,16,26,16,19,17,0,76,10,1019,26.125,19,13,16,116,113,113,0,5,13.4,météo favorable,19:48:00,05:19:00,16
2009-05-11,20,16,21,17,20,18,0,73,10,1018,20.125,20,14,17,116,113,113,0,5,14.3,météo favorable,19:49:00,05:17:00,16
2009-05-12,19,16,30,18,19,18,0.2,76,10,1017,19.5,19,14,18,113,113,116,0,5,14.3,météo favorable,19:50:00,05:16:00,16
2009-05-13,21,17,15,18,21,20,0.6,74,9.75,1017,17.625,21,14,18,176,113,113,0,4,14.4,météo favorable,19:51:00,05:15:00,17
2009-05-14,19,15,13,17,19,17,5.2,86,9,1012,48,19,15,17,116,116,299,0,5,13.4,météo favorable,19:52:00,05:14:00,17
2009-05-15,17,14,24,15,17,15,37.9,93,7.125,1012,70.875,17,14,15,308,299,305,0,4,10.1,météo très défavorable,19:53:00,05:13:00,15
2009-05-16,20,13,18,15,20,19,0.1,81,10,1016,8.375,20,14,14,113,113,113,0,5,14.4,météo favorable,19:54:00,05:12:00,13
2009-05-17,20,15,12,17,20,18,0,77,10,1018,8.75,20,14,17,113,113,113,0,5,14.4,météo favorable,19:55:00,05:11:00,16
2009-05-18,20,15,13,18,20,19,0,77,10,1019,8.875,20,15,18,113,113,113,0,5,14.5,météo favorable,19:56:00,05:10:00,15
2009-05-19,22,16,14,19,22,20,0,78,10,1021,3.5,25,16,19,113,113,113,0,6,14.5,météo favorable,19:57:00,05:09:00,16
2009-05-20,23,17,13,20,23,21,0,77,10,1021,3.125,25,18,20,113,113,113,0,6,14.5,météo favorable,19:58:00,05:08:00,17
2009-05-21,23,17,15,20,23,20,0,74,10,1020,19.25,25,15,20,113,113,116,0,6,14.5,météo favorable,19:59:00,05:07:00,17
2009-05-22,23,18,10,19,23,22,0,77,10,1016,24.625,25,17,19,116,113,113,0,6,14.5,météo favorable,20:00:00,05:06:00,18
2009-05-23,23,18,18,20,23,22,0.1,79,10,1018,13.5,25,17,20,116,113,113,0,6,14.5,météo favorable,20:01:00,05:05:00,18
2009-05-24,25,19,21,21,25,22,0,70,10,1019,3.875,26,16,21,113,113,113,0,6,14.5,météo idéale,20:02:00,05:05:00,19
2009-05-25,24,19,19,21,24,21,0,67,10,1019,11.5,26,17,21,113,113,113,0,6,14.5,météo idéale,20:03:00,05:04:00,19
2009-05-26,23,20,25,21,23,22,0.2,77,9.875,1017,9,25,17,21,113,113,113,0,6,14.5,météo favorable,20:04:00,05:03:00,20
2009-05-27,23,16,40,16,23,22,0,64,10,1020,6.5,25,12,16,113,113,113,0,6,14.5,météo favorable,20:05:00,05:02:00,17
2009-05-28,24,17,10,19,24,24,0.2,71,10,1023,6,26,18,19,113,113,113,0,6,14.5,météo idéale,20:06:00,05:02:00,18
2009-05-29,24,18,18,21,24,21,0,76,10,1021,3.5,25,17,21,113,113,113,0,6,14.5,météo idéale,20:07:00,05:01:00,18
2009-05-30,21,17,40,19,21,19,0,74,10,1017,6.125,24,16,19,113,113,113,0,6,14.5,météo favorable,20:07:00,05:01:00,18
2009-05-31,22,16,13,18,22,20,1.7,73,9.75,1016,24.5,25,16,18,113,113,176,0,6,14.5,météo favorable,20:08:00,05:00:00,16
