#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2017-05-01,15,11,43,11,14,15,13.2,67,9,1019,27.5,15,11,8,299,113,113,0,3,14.1,météo défavorable,19:38:00,05:30:00,11
2017-05-02,15,12,24,13,14,14,1.9,77,8.25,1019,40,15,10,10,116,266,176,0,4,12.2,météo correcte,19:39:00,05:29:00,12
2017-05-03,16,13,21,14,16,14,0.1,69,10,1018,9.875,16,9,13,113,113,113,0,4,14.1,météo correcte,19:40:00,05:27:00,13
2017-05-04,16,13,15,14,16,16,0.3,74,10,1017,18.375,16,12,15,113,113,113,0,5,14.2,météo correcte,19:41:00,05:26:00,13
2017-05-05,17,14,26,14,17,16,0,71,10,1017,15.75,17,11,13,113,113,116,0,5,14.2,météo correcte,19:43:00,05:25:00,14
2017-05-06,16,14,41,15,15,16,11.8,92,9,1016,24.5,16,14,14,113,359,113,0,5,13.4,météo correcte,19:44:00,05:23:00,14
2017-05-07,19,14,49,14,18,17,0,68,10,1016,0,19,10,12,113,113,113,0,5,14.2,météo favorable,19:45:00,05:22:00,14
2017-05-08,19,14,39,14,19,18,0,70,10,1014,1.125,19,11,12,113,113,113,0,5,14.3,météo favorable,19:46:00,05:21:00,14
2017-05-09,19,13,12,14,19,19,0,71,10,1012,2.125,19,14,12,113,113,113,0,5,14.3,météo favorable,19:47:00,05:20:00,13
2017-05-10,17,14,29,15,17,16,0,85,10,1010,27.875,17,13,13,116,113,113,0,5,14.3,météo correcte,19:48:00,05:18:00,14
2017-05-11,17,15,47,16,17,16,2.2,87,9.875,1006,46.5,17,14,16,113,122,353,0,5,12.3,météo correcte,19:49:00,05:17:00,15
2017-05-12,18,15,18,16,18,18,7.3,89,9.125,1010,12.125,18,15,16,113,356,176,0,4,14.3,météo correcte,19:50:00,05:16:00,15
2017-05-13,19,16,15,17,19,18,1.1,84,10,1018,4.75,19,15,17,113,113,113,0,5,14.4,météo favorable,19:51:00,05:15:00,16
2017-05-14,20,16,21,17,20,19,0,79,10,1024,24.375,20,13,17,113,119,113,0,5,13.4,météo correcte,19:52:00,05:14:00,16
2017-05-15,21,17,14,18,21,21,0,71,10,1026,10.875,21,15,18,113,116,113,0,5,14.4,météo favorable,19:53:00,05:13:00,17
2017-05-16,21,18,15,19,21,20,0,68,10,1027,7.375,21,15,19,113,113,113,0,6,14.4,météo favorable,19:54:00,05:12:00,18
2017-05-17,22,19,14,21,22,21,0,70,10,1025,7.125,25,15,21,113,113,113,0,6,14.4,météo favorable,19:55:00,05:11:00,19
2017-05-18,21,18,22,19,21,19,0,67,10,1017,17.25,24,14,19,113,113,113,0,6,14.5,météo favorable,19:56:00,05:10:00,19
2017-05-19,19,15,38,16,18,18,2.6,84,9.875,1018,15.375,19,14,16,176,113,113,0,5,14.5,météo favorable,19:57:00,05:09:00,15
2017-05-20,20,14,45,15,19,19,0,65,10,1020,1.25,20,10,12,113,113,113,0,5,14.5,météo favorable,19:58:00,05:08:00,14
2017-05-21,20,14,11,16,20,20,0,63,10,1021,9,20,15,16,113,113,113,0,5,14.5,météo favorable,19:59:00,05:07:00,14
2017-05-22,20,17,11,18,19,19,0,70,10,1020,25.5,20,14,18,116,116,113,0,5,14.5,météo favorable,20:00:00,05:06:00,17
2017-05-23,22,16,12,18,22,20,0,71,10,1019,5.375,25,16,18,113,113,113,0,6,14.5,météo favorable,20:01:00,05:05:00,16
2017-05-24,22,19,13,20,22,21,0,75,10,1019,1.75,25,18,20,113,113,113,0,6,14.5,météo favorable,20:02:00,05:05:00,19
2017-05-25,22,18,23,22,22,20,0,78,10,1015,0.5,25,19,21,113,113,113,0,6,14.5,météo favorable,20:03:00,05:04:00,21
2017-05-26,22,18,20,19,22,21,0,80,10,1018,16.5,25,16,19,113,113,116,0,6,14.5,météo favorable,20:04:00,05:03:00,18
2017-05-27,24,19,13,22,23,24,0,67,10,1020,2.75,26,18,22,113,113,113,0,6,14.5,météo idéale,20:05:00,05:02:00,20
2017-05-28,23,21,14,21,23,23,0,70,10,1021,2.625,25,19,21,113,113,113,0,6,14.5,météo favorable,20:06:00,05:02:00,22
2017-05-29,24,20,15,22,24,23,0,66,10,1019,11.625,25,18,22,113,113,113,0,6,14.5,météo idéale,20:07:00,05:01:00,21
2017-05-30,24,20,17,23,24,22,0,67,10,1018,9.375,25,17,23,113,113,113,0,6,14.5,météo idéale,20:08:00,05:01:00,20
2017-05-31,23,20,15,22,23,22,0.6,67,9.875,1021,25.625,25,17,22,176,116,113,0,6,14.5,météo favorable,20:08:00,05:00:00,21
