#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-05-01,16,13,34,14,16,15,11,91,8,1011,80.5,16,14,13,116,122,389,0,4,9.9,météo défavorable,19:38:00,05:30:00,13
2021-05-02,16,11,39,12,15,15,1.5,76,9.875,1016,17.25,16,8,8,116,116,116,0,3,14.1,météo correcte,19:39:00,05:29:00,11
2021-05-03,17,10,25,10,16,16,0,61,10,1018,4.25,17,7,7,116,113,113,0,4,14.1,météo correcte,19:40:00,05:27:00,11
2021-05-04,18,14,23,14,18,16,0,62,10,1019,9.5,18,11,14,116,116,116,0,5,14.2,météo favorable,19:41:00,05:26:00,15
2021-05-05,19,13,34,14,18,18,0,78,10,1014,22.5,19,11,13,122,116,116,0,5,14.2,météo favorable,19:43:00,05:25:00,13
2021-05-06,18,14,24,14,18,17,0,68,10,1015,11.125,18,12,12,116,116,116,0,5,14.2,météo favorable,19:44:00,05:23:00,14
2021-05-07,19,14,35,15,18,18,0,81,10,1014,24.75,19,13,15,116,116,116,0,5,14.2,météo favorable,19:45:00,05:22:00,14
2021-05-08,19,14,20,15,19,17,0,66,10,1018,5.375,19,12,13,116,116,116,0,5,14.3,météo favorable,19:46:00,05:21:00,14
2021-05-09,19,14,42,15,18,18,0.2,77,10,1018,18.75,19,12,14,116,116,116,0,5,14.3,météo favorable,19:47:00,05:20:00,14
2021-05-10,17,14,36,16,15,15,21.4,93,8.5,1013,78.875,17,14,14,353,308,296,0,5,8.9,météo très défavorable,19:48:00,05:18:00,16
2021-05-11,17,14,37,15,17,16,27.5,92,8,1012,52.875,17,14,14,302,356,116,0,4,11.2,météo très défavorable,19:49:00,05:17:00,14
2021-05-12,16,13,44,13,16,16,0,68,10,1011,5.75,16,9,9,116,116,116,0,4,14.3,météo correcte,19:50:00,05:16:00,13
2021-05-13,17,13,45,13,16,16,0,69,10,1010,18.375,17,9,10,116,116,116,0,5,14.4,météo correcte,19:51:00,05:15:00,13
2021-05-14,18,14,32,14,17,18,0,64,10,1010,29.375,18,11,13,116,122,116,0,5,13.4,météo correcte,19:52:00,05:14:00,14
2021-05-15,16,14,22,14,16,16,0,64,10,1013,49.875,16,11,12,116,116,122,0,4,12.3,météo correcte,19:53:00,05:13:00,14
2021-05-16,18,15,23,15,18,18,0.1,80,10,1012,50.875,18,14,14,116,116,116,0,5,14.4,météo favorable,19:54:00,05:12:00,15
2021-05-17,17,15,37,15,16,17,0,63,10,1014,30.625,17,11,13,116,116,116,0,5,14.5,météo correcte,19:56:00,05:11:00,15
2021-05-18,19,13,47,13,17,18,0,59,10,1020,3.75,19,7,11,116,113,116,0,5,14.5,météo favorable,19:57:00,05:10:00,13
2021-05-19,17,13,40,14,17,16,0,60,10,1017,6.5,17,8,11,116,116,116,0,5,14.5,météo correcte,19:58:00,05:09:00,13
2021-05-20,19,13,32,13,19,19,0,58,10,1021,4,19,10,11,116,116,116,0,5,14.5,météo favorable,19:59:00,05:08:00,13
2021-05-21,18,15,12,16,18,18,0,65,10,1020,30.5,18,13,16,116,116,116,0,5,13.4,météo favorable,19:59:00,05:07:00,15
2021-05-22,19,14,24,15,18,18,1,87,10,1014,50.25,19,13,15,353,116,116,0,5,13.5,météo favorable,20:00:00,05:06:00,14
2021-05-23,19,15,30,15,19,18,0,63,10,1017,12.125,19,8,13,116,116,116,0,5,14.5,météo favorable,20:01:00,05:05:00,15
2021-05-24,16,10,26,15,15,14,29.7,92,6.75,1016,79.875,16,14,15,266,353,305,0,4,9.4,météo très défavorable,20:02:00,05:05:00,15
2021-05-25,18,14,41,14,17,18,0,55,10,1021,9.875,18,9,11,116,113,116,0,5,14.5,météo favorable,20:03:00,05:04:00,14
2021-05-26,19,14,26,15,19,18,0,62,10,1020,9.5,19,10,14,116,116,116,0,5,14.5,météo favorable,20:04:00,05:03:00,14
2021-05-27,21,15,12,17,20,20,0,72,10,1017,9.25,21,13,17,116,116,113,0,5,14.5,météo favorable,20:05:00,05:02:00,16
2021-05-28,20,15,13,16,20,20,0,76,10,1018,3.375,20,14,16,116,116,116,0,5,14.5,météo favorable,20:06:00,05:02:00,15
2021-05-29,23,15,23,17,21,21,0,71,10,1018,24.625,25,13,17,116,116,116,0,6,14.5,météo favorable,20:07:00,05:01:00,15
2021-05-30,21,18,10,19,21,20,0,69,10,1018,6,24,14,19,116,116,116,0,6,14.5,météo favorable,20:08:00,05:01:00,18
2021-05-31,20,16,11,17,19,20,0,77,10,1018,21,20,13,17,116,116,116,0,5,14.5,météo favorable,20:08:00,05:00:00,16
