#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2020-05-01,19,15,31,15,17,18,0.3,65,9.375,1014,24.625,19,14,15,116,116,116,0,5,14.1,météo favorable,19:38:00,05:30:00,15
2020-05-02,19,16,40,16,19,19,0,76,10,1014,17,19,12,16,116,116,116,0,5,14.1,météo favorable,19:39:00,05:28:00,16
2020-05-03,22,16,38,17,21,21,0,68,10,1016,4.25,25,13,17,116,116,116,0,6,14.1,météo favorable,19:41:00,05:27:00,16
2020-05-04,21,15,12,19,20,19,0,63,10,1018,1.5,21,15,19,113,116,113,0,5,14.2,météo favorable,19:42:00,05:26:00,19
2020-05-05,20,16,14,17,19,19,0,76,10,1017,28.125,20,16,17,116,116,116,0,5,12.2,météo favorable,19:43:00,05:24:00,17
2020-05-06,23,17,7,18,22,22,0,82,10,1015,2.875,25,16,18,116,113,113,0,6,14.2,météo favorable,19:44:00,05:23:00,17
2020-05-07,21,17,11,18,21,20,0,77,10,1020,7.125,21,14,18,116,116,116,0,5,14.2,météo favorable,19:45:00,05:22:00,17
2020-05-08,20,17,18,17,20,19,0,61,10,1021,36.125,20,12,17,119,116,116,0,5,14.3,météo favorable,19:46:00,05:21:00,17
2020-05-09,19,15,27,16,19,19,0.2,77,10,1018,12.5,19,14,16,116,116,116,0,5,14.3,météo favorable,19:47:00,05:19:00,15
2020-05-10,19,16,36,17,19,18,10.8,85,9.625,1012,78.375,19,14,17,116,122,353,0,5,10.1,météo défavorable,19:48:00,05:18:00,16
2020-05-11,19,15,19,16,19,18,18.2,81,9,1007,72.5,19,13,16,353,176,176,0,4,11.2,météo très défavorable,19:49:00,05:17:00,15
2020-05-12,20,15,21,16,19,20,0.5,86,8.375,1010,34.375,20,14,16,266,116,116,0,5,13.4,météo favorable,19:51:00,05:16:00,15
2020-05-13,19,15,55,17,19,18,2.6,83,9.875,1010,54.625,19,15,17,353,116,353,0,5,9,météo favorable,19:52:00,05:15:00,16
2020-05-14,20,15,23,16,20,19,5.3,85,9.625,1008,33.125,20,15,16,116,116,116,0,4,14.4,météo favorable,19:53:00,05:14:00,15
2020-05-15,20,15,32,15,19,19,47.7,89,8,1014,58.75,20,14,15,302,176,116,0,4,11.2,météo très défavorable,19:54:00,05:13:00,15
2020-05-16,19,16,18,17,19,19,2.6,76,9.875,1017,59.75,19,15,17,116,176,353,0,5,10.1,météo correcte,19:55:00,05:12:00,17
2020-05-17,19,17,23,17,19,18,10.8,82,9.5,1017,82.75,19,15,17,386,353,353,0,4,9,météo défavorable,19:56:00,05:11:00,17
2020-05-18,24,17,18,18,22,22,6.9,78,9.375,1019,53.25,25,14,18,116,116,176,0,5,11.2,météo favorable,19:57:00,05:10:00,17
2020-05-19,22,18,13,18,22,21,2.9,77,9.75,1015,38.625,25,15,18,116,116,116,0,5,14.5,météo favorable,19:58:00,05:09:00,18
2020-05-20,22,18,12,19,22,22,0,71,10,1016,8.375,25,15,19,116,116,116,0,6,14.5,météo favorable,19:59:00,05:08:00,18
2020-05-21,23,19,11,20,22,22,0,69,10,1019,6.625,25,15,20,116,116,116,0,6,14.5,météo favorable,20:00:00,05:07:00,19
2020-05-22,23,20,13,21,23,22,0,66,10,1025,5.875,25,15,21,116,116,116,0,6,14.5,météo favorable,20:01:00,05:06:00,20
2020-05-23,24,20,22,20,23,23,0,68,10,1025,11,26,17,20,116,116,116,0,6,14.5,météo favorable,20:02:00,05:05:00,20
2020-05-24,24,17,14,18,23,21,0,68,10,1025,4.125,25,17,18,116,113,113,0,6,14.5,météo idéale,20:03:00,05:04:00,17
2020-05-25,23,20,12,21,23,22,0,71,10,1025,5.875,25,17,21,113,116,116,0,6,14.5,météo favorable,20:03:00,05:04:00,22
2020-05-26,23,20,14,20,23,23,0,64,10,1025,6.375,25,15,20,116,116,116,0,6,14.5,météo favorable,20:04:00,05:03:00,20
2020-05-27,20,12,31,19,19,17,0,66,10,1029,51.75,20,13,19,116,116,119,0,5,11.4,météo favorable,20:05:00,05:02:00,20
2020-05-28,22,16,24,19,22,21,0,57,10,1028,8.25,25,13,19,116,116,116,0,6,14.5,météo favorable,20:06:00,05:02:00,18
2020-05-29,20,17,29,19,20,19,3.5,79,9.875,1019,37,20,16,19,116,116,176,0,5,12.5,météo favorable,20:07:00,05:01:00,18
2020-05-30,19,14,12,17,19,17,1,76,9.875,1018,55.25,19,13,17,116,116,386,0,5,11.5,météo correcte,20:08:00,05:00:00,16
2020-05-31,21,15,13,18,21,19,1.3,73,10,1016,38,22,15,18,116,116,299,0,5,12.5,météo favorable,20:09:00,05:00:00,16
