#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2013-05-01,18,14,10,15,17,18,5.3,94,9.75,1018,34.125,18,15,14,353,176,113,0,4,13.4,météo favorable,19:38:00,05:30:00,14
2013-05-02,18,14,6,16,18,17,1.4,89,9.875,1017,14,18,14,16,113,116,113,0,5,14.1,météo favorable,19:39:00,05:29:00,15
2013-05-03,18,13,25,14,17,17,2,83,9.875,1016,3.5,18,12,13,113,113,113,0,4,14.1,météo favorable,19:40:00,05:27:00,13
2013-05-04,19,12,17,13,18,18,0.5,75,10,1017,8.25,19,14,11,113,116,113,0,5,14.2,météo favorable,19:41:00,05:26:00,12
2013-05-05,16,14,12,16,16,15,11.6,90,8.5,1018,72.375,16,14,16,116,302,302,0,4,10,météo défavorable,19:42:00,05:25:00,15
2013-05-06,18,14,23,15,18,17,6.5,90,9.625,1018,31.25,18,14,14,353,176,176,0,4,13.4,météo favorable,19:44:00,05:23:00,14
2013-05-07,20,14,22,16,20,18,0,74,10,1016,23.875,20,12,16,116,113,113,0,5,13.4,météo favorable,19:45:00,05:22:00,14
2013-05-08,19,15,11,16,19,17,0,81,10,1016,20.5,19,14,16,113,113,113,0,5,14.3,météo favorable,19:46:00,05:21:00,15
2013-05-09,19,16,15,17,19,17,0.1,82,10,1016,24.875,19,15,17,113,113,116,0,5,14.3,météo favorable,19:47:00,05:20:00,16
2013-05-10,19,14,37,16,19,17,0.4,88,9.875,1015,21.375,19,14,16,119,113,113,0,5,13.4,météo favorable,19:48:00,05:18:00,16
2013-05-11,18,12,43,12,18,17,0,73,10,1015,0,18,10,9,113,113,113,0,5,14.3,météo favorable,19:49:00,05:17:00,12
2013-05-12,18,12,51,13,18,16,0,72,10,1017,4.5,18,9,10,113,113,113,0,5,14.3,météo favorable,19:50:00,05:16:00,12
2013-05-13,19,11,21,12,19,18,0,68,10,1018,4.625,19,13,10,113,113,113,0,5,14.4,météo favorable,19:51:00,05:15:00,11
2013-05-14,19,15,14,17,19,17,0.6,75,10,1015,14.25,19,14,17,113,113,353,0,5,14.4,météo favorable,19:52:00,05:14:00,15
2013-05-15,18,14,33,15,18,16,2,86,9.875,1008,60.5,18,14,15,353,116,176,0,5,13.4,météo correcte,19:53:00,05:13:00,14
2013-05-16,16,12,13,15,15,14,28.1,92,8,1001,94.875,16,14,15,359,296,302,0,3,9,météo très défavorable,19:54:00,05:12:00,15
2013-05-17,16,12,25,14,15,16,10.3,73,8.875,1009,23.625,16,10,14,176,356,176,0,4,14.4,météo correcte,19:55:00,05:11:00,12
2013-05-18,15,13,37,15,15,14,75.4,91,7,1010,75,15,13,11,356,308,308,0,3,9,météo très défavorable,19:56:00,05:10:00,13
2013-05-19,16,13,29,14,16,15,7.4,75,9.25,1017,13,16,10,13,176,113,113,0,4,14.5,météo correcte,19:57:00,05:09:00,13
2013-05-20,16,13,24,13,16,15,0.1,71,10,1018,6.875,16,8,12,113,113,113,0,5,14.5,météo correcte,19:58:00,05:08:00,13
2013-05-21,17,13,25,14,17,17,0,73,10,1018,15.625,17,12,13,113,116,113,0,5,13.4,météo correcte,19:59:00,05:07:00,13
2013-05-22,19,13,32,14,19,17,0,77,10,1011,6,19,12,13,113,113,113,0,5,14.5,météo favorable,20:00:00,05:06:00,13
2013-05-23,18,10,50,11,18,16,0,74,10,1008,3.5,18,10,7,113,113,113,0,5,14.5,météo favorable,20:01:00,05:05:00,10
2013-05-24,15,10,57,11,14,14,0,65,10,1013,3.5,15,6,6,113,113,113,0,4,14.5,météo correcte,20:02:00,05:05:00,10
2013-05-25,15,10,45,12,14,14,0.1,72,10,1014,10.875,15,7,9,113,113,113,0,4,14.5,météo correcte,20:03:00,05:04:00,11
2013-05-26,17,8,41,10,16,16,0,74,10,1016,5.5,17,8,7,113,113,113,0,4,14.5,météo correcte,20:04:00,05:03:00,8
2013-05-27,17,11,17,12,17,16,0,71,10,1014,19,17,12,10,113,113,113,0,5,14.5,météo correcte,20:05:00,05:02:00,11
2013-05-28,15,12,22,15,15,15,5.5,89,9.75,1011,54.25,15,13,13,113,296,353,0,4,10.4,météo correcte,20:06:00,05:02:00,13
2013-05-29,15,10,42,12,15,14,0.8,74,9.875,1007,4.875,15,8,8,113,113,176,0,4,14.5,météo correcte,20:07:00,05:01:00,10
2013-05-30,17,10,41,11,16,16,0,72,10,1009,6.375,17,10,8,113,113,113,0,4,14.5,météo correcte,20:08:00,05:01:00,10
2013-05-31,18,11,47,12,18,17,0,74,10,1008,8.75,18,10,9,113,113,113,0,5,14.5,météo favorable,20:08:00,05:00:00,11
