Pluie,Pas de pluie,Pluie légère,Pluie modérée
Pas de pluie,0.5877192982456141,0.25877192982456143,0.15350877192982457
Pluie légère,0.48717948717948717,0.27350427350427353,0.23931623931623933
Pluie modérée,0.4810126582278481,0.31645569620253167,0.20253164556962025
