#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2015-05-01,17,15,17,16,17,16,0.8,86,8.375,1017,42.75,17,14,16,116,116,266,0,5,13.4,météo correcte,19:37:00,05:31:00,15
2015-05-02,19,16,31,16,19,18,0,81,10,1013,18.5,19,14,16,113,113,116,0,5,14.1,météo favorable,19:39:00,05:29:00,16
2015-05-03,19,16,23,17,19,18,0,83,10,1013,32.125,19,14,17,116,116,113,0,5,14.1,météo favorable,19:40:00,05:28:00,16
2015-05-04,20,16,29,17,20,19,0,83,10,1013,36.375,20,14,17,116,113,116,0,5,14.1,météo favorable,19:41:00,05:27:00,16
2015-05-05,20,18,32,18,20,18,0,74,10,1012,39.25,20,15,18,116,113,116,0,5,14.2,météo favorable,19:42:00,05:25:00,18
2015-05-06,21,17,30,18,21,19,0,80,10,1016,2.75,24,16,18,113,113,113,0,5,14.2,météo favorable,19:43:00,05:24:00,17
2015-05-07,20,16,28,16,20,18,0,65,10,1018,1.25,20,11,16,113,113,113,0,5,14.2,météo favorable,19:44:00,05:23:00,16
2015-05-08,19,16,14,18,19,18,0,66,10,1018,18.75,19,13,18,116,113,113,0,5,13.4,météo favorable,19:45:00,05:22:00,16
2015-05-09,23,17,37,17,22,22,0,74,10,1021,18.375,25,13,17,116,113,113,0,6,13.4,météo favorable,19:46:00,05:20:00,17
2015-05-10,22,16,19,18,21,22,0,64,10,1024,19.25,25,16,18,113,122,113,0,6,13.4,météo correcte,19:47:00,05:19:00,16
2015-05-11,21,18,14,20,21,19,0,73,10,1025,15.375,21,16,20,113,113,116,0,6,14.3,météo favorable,19:49:00,05:18:00,19
2015-05-12,20,17,13,19,20,19,0,71,10,1025,8.5,20,13,19,113,113,113,0,5,14.3,météo favorable,19:50:00,05:17:00,17
2015-05-13,21,18,19,19,21,19,0.1,70,10,1024,10.375,21,15,19,113,113,113,0,6,14.4,météo favorable,19:51:00,05:16:00,18
2015-05-14,22,19,20,21,22,21,0.2,73,10,1016,48.75,25,16,21,116,119,116,0,5,13.4,météo correcte,19:52:00,05:14:00,19
2015-05-15,19,14,68,15,18,15,1.8,59,9.875,1011,23.5,19,13,12,113,113,116,0,4,13.4,météo favorable,19:53:00,05:13:00,16
2015-05-16,21,13,18,15,21,21,0.6,56,10,1020,11.75,21,14,14,116,113,113,0,5,14.4,météo favorable,19:54:00,05:12:00,13
2015-05-17,22,17,21,17,22,22,0,76,10,1020,4.25,25,14,18,113,113,113,0,6,14.4,météo favorable,19:55:00,05:11:00,18
2015-05-18,21,16,23,19,21,19,0,75,10,1016,11,21,14,19,113,113,113,0,5,14.5,météo favorable,19:56:00,05:10:00,17
2015-05-19,21,16,34,18,21,18,0.1,71,10,1010,28,21,13,18,113,116,116,0,5,14.5,météo favorable,19:57:00,05:09:00,17
2015-05-20,19,15,53,15,19,18,0,61,10,1014,28.5,19,10,15,119,113,113,0,5,13.4,météo favorable,19:58:00,05:08:00,16
2015-05-21,19,12,54,13,19,17,0,60,10,1018,15.125,19,10,9,113,113,116,0,5,14.5,météo favorable,19:59:00,05:08:00,12
2015-05-22,19,13,21,14,19,19,0,57,10,1018,6.125,19,11,14,113,113,113,0,5,14.5,météo favorable,20:00:00,05:07:00,13
2015-05-23,19,15,19,16,19,19,0,64,10,1013,18.125,19,13,16,113,116,113,0,5,14.5,météo favorable,20:01:00,05:06:00,15
2015-05-24,18,15,18,16,18,17,0.2,74,10,1016,14.375,18,13,16,113,113,113,0,5,14.5,météo favorable,20:02:00,05:05:00,15
2015-05-25,21,16,13,18,20,21,0.6,76,9.875,1015,12.375,21,14,18,113,113,113,0,5,14.5,météo favorable,20:03:00,05:04:00,17
2015-05-26,21,16,25,17,21,20,0.2,70,9.875,1013,11.25,21,13,17,113,113,113,0,5,14.5,météo favorable,20:04:00,05:03:00,16
2015-05-27,20,16,18,17,20,20,0,66,10,1017,7.625,20,14,17,113,113,113,0,5,14.5,météo favorable,20:05:00,05:03:00,16
2015-05-28,21,17,14,18,20,19,0,69,10,1018,7.75,21,16,18,116,113,113,0,5,14.5,météo favorable,20:05:00,05:02:00,18
2015-05-29,21,17,21,21,20,19,0,73,10,1016,3.75,21,15,19,113,113,113,0,5,14.5,météo favorable,20:06:00,05:01:00,18
2015-05-30,22,17,31,18,22,20,0,73,10,1016,8.625,25,14,18,113,113,113,0,6,14.5,météo favorable,20:07:00,05:01:00,17
2015-05-31,21,18,17,20,21,20,0,73,10,1018,6.125,21,16,20,113,113,113,0,6,14.5,météo favorable,20:08:00,05:00:00,20
