#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2011-05-01,18,14,19,14,18,16,0.6,81,9.875,1007,10,18,13,13,113,113,113,0,4,14.1,météo favorable,19:37:00,05:31:00,14
2011-05-02,18,14,26,15,18,16,0.2,81,9.875,1007,27.875,18,14,14,113,116,113,0,5,13.4,météo favorable,19:38:00,05:29:00,14
2011-05-03,20,14,32,15,19,18,0,83,10,1007,15.25,20,13,14,113,113,113,0,5,14.1,météo favorable,19:40:00,05:28:00,14
2011-05-04,20,14,37,15,19,18,0,78,10,1014,12.625,20,12,12,113,113,113,0,5,14.1,météo favorable,19:41:00,05:27:00,14
2011-05-05,18,14,21,16,18,16,0,89,10,1022,10.125,18,14,16,113,113,113,0,5,14.2,météo favorable,19:42:00,05:25:00,15
2011-05-06,18,14,30,15,18,16,0,73,10,1024,7.125,18,12,15,113,113,113,0,5,14.2,météo favorable,19:43:00,05:24:00,14
2011-05-07,19,14,22,15,19,16,0.1,77,10,1023,21.25,19,12,15,113,113,116,0,5,14.2,météo favorable,19:44:00,05:23:00,14
2011-05-08,20,15,13,16,20,17,0.6,78,10,1019,22.5,20,13,16,353,113,113,0,5,13.4,météo favorable,19:45:00,05:22:00,15
2011-05-09,18,15,28,16,18,16,2,83,10,1025,18.25,18,13,16,113,113,113,0,5,14.3,météo favorable,19:46:00,05:20:00,15
2011-05-10,20,15,13,17,20,19,3,71,9.625,1028,27.5,20,13,17,116,113,113,0,4,14.3,météo favorable,19:47:00,05:19:00,15
2011-05-11,20,16,22,18,20,17,0,69,10,1026,6.25,20,13,18,113,113,113,0,5,14.3,météo favorable,19:49:00,05:18:00,16
2011-05-12,20,15,21,17,20,19,0.6,76,10,1020,6.375,20,15,17,113,113,113,0,5,14.3,météo favorable,19:50:00,05:17:00,15
2011-05-13,20,17,12,18,20,19,0,83,10,1018,12.375,20,16,18,113,113,113,0,5,14.4,météo favorable,19:51:00,05:16:00,17
2011-05-14,20,17,20,18,20,19,1.7,93,7.75,1018,35.5,20,17,18,116,113,113,0,4,14.4,météo favorable,19:52:00,05:15:00,17
2011-05-15,18,14,63,14,18,16,0,74,10,1021,13.875,18,12,10,113,113,113,0,5,14.4,météo favorable,19:53:00,05:13:00,15
2011-05-16,23,12,17,13,22,21,0,65,10,1023,1.375,25,16,11,113,113,113,0,5,14.4,météo favorable,19:54:00,05:12:00,12
2011-05-17,21,17,12,18,20,20,0,77,10,1022,2.5,21,16,18,113,113,113,0,5,14.4,météo favorable,19:55:00,05:11:00,18
2011-05-18,20,16,14,17,20,20,0,79,10,1019,10.5,20,16,17,113,113,113,0,5,14.5,météo favorable,19:56:00,05:10:00,16
2011-05-19,21,18,11,19,21,20,1.5,72,9.875,1019,8.125,21,16,19,113,176,113,0,6,14.5,météo favorable,19:57:00,05:09:00,18
2011-05-20,22,18,12,19,21,22,3,83,9.75,1019,2.875,24,17,19,176,113,113,0,6,14.5,météo favorable,19:58:00,05:08:00,18
2011-05-21,23,18,10,21,23,20,0.1,78,10,1019,2.625,25,17,21,113,113,113,0,6,14.5,météo favorable,19:59:00,05:08:00,19
2011-05-22,23,18,19,19,23,21,3.4,73,10,1018,10.25,25,16,19,113,113,386,0,6,14.5,météo favorable,20:00:00,05:07:00,18
2011-05-23,24,19,7,20,24,23,3.4,79,9.625,1021,12,25,18,20,113,113,113,0,6,14.5,météo favorable,20:01:00,05:06:00,19
2011-05-24,24,20,17,21,24,23,5.2,76,9.5,1021,17.25,26,18,21,116,113,116,0,5,14.5,météo favorable,20:02:00,05:05:00,21
2011-05-25,23,19,18,20,23,23,0,82,10,1020,14.875,25,19,20,113,113,113,0,6,14.5,météo favorable,20:03:00,05:04:00,19
2011-05-26,24,19,10,21,23,22,0,80,10,1018,5.75,25,18,21,113,113,113,0,6,14.5,météo idéale,20:04:00,05:04:00,19
2011-05-27,20,17,33,19,20,20,3.2,88,9.75,1015,25.25,20,17,19,116,113,113,0,5,14.5,météo favorable,20:05:00,05:03:00,19
2011-05-28,21,13,25,14,21,20,0,73,10,1015,0.25,24,14,12,113,113,113,0,5,14.5,météo favorable,20:05:00,05:02:00,13
2011-05-29,23,17,20,19,23,23,0,72,10,1018,0.625,25,18,19,113,113,113,0,6,14.5,météo favorable,20:06:00,05:01:00,17
2011-05-30,22,18,26,19,22,20,6.6,74,9.125,1018,11,25,15,19,113,113,356,0,6,14.5,météo favorable,20:07:00,05:01:00,18
2011-05-31,21,16,14,19,21,19,3.4,81,9.875,1017,41.125,21,16,19,353,119,116,0,4,13.5,météo correcte,20:08:00,05:00:00,19
