#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2010-05-01,18,15,17,16,18,16,0,81,10,1014,30.5,18,14,16,116,113,116,0,5,14.1,météo favorable,19:38:00,05:31:00,16
2010-05-02,18,14,27,16,17,17,4.8,93,8,1012,48.5,18,14,15,296,176,113,0,4,12.2,météo favorable,19:39:00,05:29:00,15
2010-05-03,13,11,22,13,12,11,30.2,88,8,1009,60,13,11,10,116,299,308,0,4,10,météo très défavorable,19:40:00,05:28:00,13
2010-05-04,16,9,55,16,14,12,80.1,90,7.375,1007,92.125,16,14,11,389,356,353,0,3,8.8,météo très défavorable,19:41:00,05:26:00,15
2010-05-05,12,9,20,11,12,10,11.2,88,6.25,1008,67.75,12,10,9,263,296,302,0,4,10,météo défavorable,19:42:00,05:25:00,9
2010-05-06,13,8,33,9,13,13,2.4,88,8.75,1007,57,13,9,6,296,116,113,0,3,13.4,météo correcte,19:43:00,05:24:00,8
2010-05-07,14,9,21,10,14,13,0,77,10,1009,17.25,14,8,8,113,113,116,0,4,14.2,météo correcte,19:44:00,05:23:00,9
2010-05-08,15,11,16,13,14,15,25.1,88,7.5,1012,53.75,15,13,12,356,359,356,0,3,11.1,météo très défavorable,19:46:00,05:21:00,11
2010-05-09,17,14,26,15,17,15,2.1,89,9.75,1011,38.25,17,14,14,116,116,116,0,4,14.3,météo correcte,19:47:00,05:20:00,14
2010-05-10,18,14,23,15,18,17,2.7,92,10,1008,32.625,18,15,14,116,113,113,0,4,14.3,météo favorable,19:48:00,05:19:00,14
2010-05-11,18,14,23,16,18,17,3.2,93,9.75,1007,36.5,18,15,16,353,176,113,0,4,14.3,météo favorable,19:49:00,05:18:00,15
2010-05-12,17,13,17,15,17,15,6.1,83,9.125,1008,25.25,17,14,15,176,176,176,0,5,14.3,météo correcte,19:50:00,05:16:00,13
2010-05-13,16,12,23,13,16,14,0.8,88,9.75,1009,15.625,16,11,11,113,113,113,0,4,14.4,météo correcte,19:51:00,05:15:00,12
2010-05-14,15,11,20,11,15,14,0.2,84,10,1009,25.5,15,10,10,113,113,116,0,4,14.4,météo correcte,19:52:00,05:14:00,11
2010-05-15,16,11,47,12,16,13,0.1,74,10,1007,30.375,16,9,8,116,113,113,0,4,14.4,météo correcte,19:53:00,05:13:00,11
2010-05-16,18,11,51,12,17,16,0,66,10,1016,11,18,9,8,113,113,113,0,5,14.4,météo favorable,19:54:00,05:12:00,11
2010-05-17,19,13,43,13,19,17,0,66,10,1020,3.875,19,10,10,113,113,113,0,5,14.4,météo favorable,19:55:00,05:11:00,13
2010-05-18,20,14,36,14,20,18,0,67,10,1021,6.5,20,10,12,113,113,113,0,5,14.5,météo favorable,19:56:00,05:10:00,14
2010-05-19,18,14,31,14,17,17,0.1,62,10,1020,13.125,18,10,11,113,113,113,0,5,14.5,météo favorable,19:57:00,05:09:00,14
2010-05-20,20,11,15,14,20,19,0,63,10,1021,11.25,20,12,12,113,113,113,0,5,14.5,météo favorable,19:58:00,05:08:00,11
2010-05-21,21,15,13,17,21,19,0,78,10,1021,9.25,21,14,17,113,113,113,0,5,14.5,météo favorable,19:59:00,05:07:00,15
2010-05-22,20,15,15,18,20,19,0,77,10,1020,11.625,20,14,18,113,113,113,0,5,14.5,météo favorable,20:00:00,05:06:00,15
2010-05-23,21,16,6,18,21,20,0.8,83,10,1018,11.75,21,16,18,113,386,113,0,5,14.5,météo correcte,20:01:00,05:06:00,16
2010-05-24,21,16,18,18,21,20,0.2,77,10,1018,8.25,21,14,18,113,113,113,0,5,14.5,météo favorable,20:02:00,05:05:00,16
2010-05-25,20,16,18,18,20,19,0,73,10,1017,1.625,20,14,18,113,113,113,0,5,14.5,météo favorable,20:03:00,05:04:00,17
2010-05-26,20,15,16,18,20,19,0,78,10,1015,12.875,20,15,18,113,116,113,0,5,14.5,météo favorable,20:04:00,05:03:00,16
2010-05-27,21,15,23,17,21,19,0,84,10,1012,9.75,21,15,17,113,113,113,0,5,14.5,météo favorable,20:05:00,05:03:00,15
2010-05-28,21,16,10,18,21,19,0,81,10,1016,26.5,21,15,18,116,113,113,0,5,14.5,météo favorable,20:06:00,05:02:00,16
2010-05-29,22,16,23,17,22,20,0.2,81,10,1018,12.625,25,14,17,113,113,113,0,6,14.5,météo favorable,20:06:00,05:01:00,16
2010-05-30,22,17,38,18,21,21,0,73,10,1017,16.375,25,15,18,113,113,113,0,6,14.5,météo favorable,20:07:00,05:01:00,17
2010-05-31,21,17,53,19,21,20,0,72,10,1013,10.125,24,13,19,113,113,113,0,6,14.5,météo favorable,20:08:00,05:00:00,18
