#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2016-05-01,15,10,54,10,14,14,2,68,9.75,1016,27.25,15,8,6,113,119,176,0,4,13.4,météo correcte,19:38:00,05:30:00,11
2016-05-02,19,10,21,12,18,18,0,64,10,1016,12.375,19,11,9,113,113,113,0,5,14.1,météo favorable,19:39:00,05:28:00,10
2016-05-03,20,14,47,14,20,18,0,71,10,1017,8.875,20,10,13,113,113,113,0,5,14.1,météo favorable,19:41:00,05:27:00,14
2016-05-04,19,13,16,15,18,19,0,57,10,1019,2,19,10,14,113,113,113,0,5,14.2,météo favorable,19:42:00,05:26:00,13
2016-05-05,19,15,36,19,18,17,0,63,10,1019,0.5,19,12,18,113,113,113,0,5,14.2,météo favorable,19:43:00,05:24:00,17
2016-05-06,18,15,31,16,18,16,0,69,10,1018,8.75,18,11,16,113,113,113,0,5,14.2,météo favorable,19:44:00,05:23:00,15
2016-05-07,18,15,28,16,18,17,0,74,10,1014,16.75,18,12,16,113,113,113,0,5,14.2,météo favorable,19:45:00,05:22:00,15
2016-05-08,17,15,39,16,17,15,2.4,78,9.125,1013,65,17,13,16,116,263,296,0,5,10,météo défavorable,19:46:00,05:21:00,15
2016-05-09,18,14,52,15,18,17,3.3,84,9,1013,51.625,18,13,15,116,113,119,0,4,13.4,météo favorable,19:47:00,05:19:00,14
2016-05-10,18,16,34,16,18,17,1.1,83,8.75,1012,57.75,18,14,16,119,113,353,0,4,12.3,météo correcte,19:48:00,05:18:00,16
2016-05-11,17,15,28,16,17,16,5.1,92,9.75,1006,44.875,17,15,16,353,353,113,0,4,11.2,météo correcte,19:49:00,05:17:00,15
2016-05-12,17,14,32,14,17,16,0.4,77,10,1004,11,17,12,12,113,113,113,0,5,14.3,météo correcte,19:50:00,05:16:00,14
2016-05-13,18,15,36,15,18,16,1.6,79,8.875,1003,42,18,13,15,113,116,296,0,5,12.3,météo favorable,19:52:00,05:15:00,15
2016-05-14,20,15,36,16,20,19,2.1,74,9.75,1009,8.75,20,13,16,113,113,176,0,5,14.4,météo favorable,19:53:00,05:14:00,15
2016-05-15,19,14,41,14,19,17,0,67,10,1015,0.375,19,9,11,113,113,113,0,5,14.4,météo favorable,19:54:00,05:13:00,14
2016-05-16,19,13,28,13,19,18,0,63,10,1018,8.625,19,10,11,113,113,116,0,5,14.4,météo favorable,19:55:00,05:12:00,13
2016-05-17,18,13,15,14,18,18,0,68,10,1017,13.625,18,12,12,113,113,113,0,5,14.5,météo favorable,19:56:00,05:11:00,13
2016-05-18,18,16,20,17,18,17,0,68,10,1017,9,18,13,17,113,113,113,0,5,14.5,météo favorable,19:57:00,05:10:00,16
2016-05-19,18,15,25,16,18,17,1,78,10,1015,55,19,13,15,116,116,116,0,5,12.3,météo correcte,19:58:00,05:09:00,15
2016-05-20,19,15,26,16,18,17,2.8,74,10,1015,51.875,19,12,16,116,113,116,0,5,12.3,météo favorable,19:59:00,05:08:00,15
2016-05-21,19,15,21,16,19,18,0.7,75,10,1015,53.125,19,13,16,113,116,116,0,5,12.4,météo favorable,20:00:00,05:07:00,15
2016-05-22,19,15,26,17,19,18,1.5,79,9.875,1018,13,19,15,17,113,113,113,0,5,14.5,météo favorable,20:01:00,05:06:00,16
2016-05-23,18,13,54,14,18,18,0,64,10,1017,5.125,18,11,11,113,113,113,0,5,14.5,météo favorable,20:02:00,05:05:00,13
2016-05-24,19,14,38,14,19,17,0,72,10,1015,15.25,19,11,11,116,113,113,0,5,14.5,météo favorable,20:03:00,05:04:00,14
2016-05-25,18,15,17,17,18,18,0,70,10,1015,15.25,18,14,17,113,116,113,0,5,14.5,météo favorable,20:03:00,05:04:00,15
2016-05-26,17,16,14,17,17,17,0,77,10,1015,23.25,17,13,17,113,113,113,0,5,14.5,météo correcte,20:04:00,05:03:00,16
2016-05-27,19,16,20,18,17,19,0,78,10,1015,77.5,19,14,17,116,119,122,0,4,10.4,météo défavorable,20:05:00,05:02:00,16
2016-05-28,18,16,15,17,17,18,0.1,83,10,1015,28.625,18,16,17,113,113,116,0,5,14.5,météo favorable,20:06:00,05:02:00,16
2016-05-29,20,16,35,17,20,18,10.3,94,8.625,1012,35.625,20,16,17,119,356,113,0,4,13.5,météo correcte,20:07:00,05:01:00,17
2016-05-30,19,16,35,17,19,19,0.1,72,10,1015,5.625,19,14,17,113,113,113,0,5,14.5,météo favorable,20:08:00,05:00:00,16
2016-05-31,20,16,20,17,20,19,0.6,76,9.875,1016,39.125,21,14,17,113,116,113,0,5,12.5,météo favorable,20:09:00,05:00:00,16
