#### EXPORT DONNEES METEO POUR "TOULON" (LAT/LON: 43.124228/5.928)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2012-05-01,16,12,13,14,16,14,0.7,83,9.875,1017,14.125,16,11,14,116,113,113,0,3,14.1,météo correcte,19:38:00,05:30:00,13
2012-05-02,16,12,16,15,16,15,0,82,10,1018,2.125,16,12,15,113,113,113,0,5,14.1,météo correcte,19:39:00,05:28:00,12
2012-05-03,16,13,19,13,16,15,0,78,10,1016,5.75,16,12,12,113,113,113,0,5,14.1,météo correcte,19:40:00,05:27:00,13
2012-05-04,16,14,18,14,16,15,0.6,88,10,1012,20.25,16,13,14,113,113,116,0,5,14.2,météo correcte,19:42:00,05:26:00,15
2012-05-05,17,14,17,15,17,16,9.2,92,8.875,1010,30.75,17,14,15,116,116,356,0,5,14.2,météo correcte,19:43:00,05:24:00,14
2012-05-06,17,13,16,15,17,16,6.9,89,9.375,1013,35.5,17,13,15,353,353,176,0,4,13.4,météo correcte,19:44:00,05:23:00,14
2012-05-07,18,13,30,14,18,15,0,77,10,1018,16.625,18,11,12,113,116,113,0,5,14.2,météo favorable,19:45:00,05:22:00,13
2012-05-08,18,14,18,16,18,15,0,80,10,1019,18.875,18,13,16,113,113,116,0,5,14.3,météo favorable,19:46:00,05:21:00,14
2012-05-09,18,14,14,16,18,18,0.4,88,9.875,1022,20.125,18,15,16,116,113,113,0,5,14.3,météo favorable,19:47:00,05:19:00,14
2012-05-10,20,16,10,17,19,19,0,84,10,1025,3.5,20,16,17,113,113,113,0,5,14.3,météo favorable,19:48:00,05:18:00,17
2012-05-11,22,17,13,19,22,20,0,74,10,1026,4,25,15,19,113,113,113,0,6,14.3,météo favorable,19:49:00,05:17:00,17
2012-05-12,24,17,34,18,24,22,0,69,10,1025,10.125,26,16,18,113,116,113,0,6,14.3,météo favorable,19:50:00,05:16:00,18
2012-05-13,21,15,43,15,19,21,0.1,76,10,1018,6.75,21,17,15,116,113,113,0,5,14.4,météo favorable,19:52:00,05:15:00,15
2012-05-14,17,14,16,15,17,16,0,81,10,1017,26.75,17,13,15,116,113,113,0,5,14.4,météo correcte,19:53:00,05:14:00,16
2012-05-15,19,14,39,15,19,18,0,73,10,1014,16.125,19,11,13,113,116,113,0,5,14.4,météo favorable,19:54:00,05:13:00,14
2012-05-16,17,10,53,10,17,15,0,69,10,1018,0.625,17,7,5,113,113,113,0,4,14.4,météo correcte,19:55:00,05:12:00,10
2012-05-17,18,12,22,15,18,16,0.2,63,9.875,1019,15,18,10,15,113,113,113,0,5,14.5,météo favorable,19:56:00,05:11:00,13
2012-05-18,17,14,26,15,17,16,4.4,72,9.875,1015,30.75,17,10,15,116,176,113,0,4,14.5,météo correcte,19:57:00,05:10:00,14
2012-05-19,19,14,46,16,19,17,0.8,69,9.875,1014,12.75,19,12,16,113,113,113,0,5,14.5,météo favorable,19:58:00,05:09:00,15
2012-05-20,17,14,36,16,16,16,42.6,90,7.625,1009,77.375,17,15,16,119,356,359,0,4,10.2,météo très défavorable,19:59:00,05:08:00,16
2012-05-21,14,12,24,13,13,14,48.7,88,8,1006,91.875,14,12,11,296,302,296,0,3,9.3,météo très défavorable,20:00:00,05:07:00,12
2012-05-22,16,12,29,14,15,16,8,87,8.125,1013,49.375,16,14,12,266,302,176,0,4,11.4,météo correcte,20:01:00,05:06:00,13
2012-05-23,21,13,17,15,20,20,0,80,10,1018,12.875,21,17,13,113,113,113,0,5,14.5,météo favorable,20:02:00,05:05:00,13
2012-05-24,21,17,8,19,21,20,0.5,82,9.75,1018,8.5,24,16,19,113,113,176,0,6,14.5,météo favorable,20:02:00,05:04:00,17
2012-05-25,21,18,11,19,21,20,4.5,83,9.75,1017,14.125,21,17,19,176,113,113,0,5,14.5,météo favorable,20:03:00,05:04:00,18
2012-05-26,20,17,12,18,20,19,2.6,81,9.875,1017,26.625,20,16,18,353,116,113,0,5,14.5,météo favorable,20:04:00,05:03:00,17
2012-05-27,19,16,13,18,19,18,0.2,89,10,1017,14.25,19,16,18,113,113,113,0,5,14.5,météo favorable,20:05:00,05:02:00,16
2012-05-28,21,16,11,18,21,19,1.7,87,9.875,1015,11,21,17,18,113,113,176,0,5,14.5,météo favorable,20:06:00,05:02:00,17
2012-05-29,20,17,9,18,20,19,4.9,91,9.5,1015,7.25,20,17,18,113,176,176,0,5,14.5,météo favorable,20:07:00,05:01:00,18
2012-05-30,22,16,13,18,22,20,0.2,83,10,1019,19.25,24,17,18,119,113,113,0,6,13.5,météo favorable,20:08:00,05:00:00,17
2012-05-31,23,17,10,19,23,21,0.5,80,10,1019,14.5,25,17,19,116,113,113,0,6,14.5,météo favorable,20:09:00,05:00:00,18
